
ETAT DES RECEPTIONS DES ORDRES DE PRELEVEMENTS AU:19/05/2026 a 07:01

NOM DU SI DALKIA;IBAN CREANCIER;DATE D'ECHEANCE;NOMBRE DE PRELEVEMENTS;MONTANT TOTAL;
CIF;FR7630004003420002010707342;04/06/2026;0000000006;640,02;
CIF;FR7630004008190001183352461;04/06/2026;0000000018;1622,63;
CIF;FR7630004008190001198018861;04/06/2026;0000000052;6650,63;
CIF;FR7630004008190001203276261;04/06/2026;0000000002;434,27;
CIF;FR7630004008280001284673676;04/06/2026;0000000008;643,95;
CIF;FR7630004013280001055447804;04/06/2026;0000000017;1865,92;
CIF;FR7630004013280001055467204;02/06/2026;0000000002;388,81;
CIF;FR7630004013280001055467204;04/06/2026;0000000150;10865,57;
CIF;FR7630004013280001055515704;04/06/2026;0000000021;3132,73;
ORACLE;FR7630003003700002510081344;01/06/2026;0000000004;419825,19;
ORACLE;FR7630003005800002000688223;01/06/2026;0000000001;1004,50;
ORACLE;FR7630003011000002041433130;01/06/2026;0000000005;65780,43;
ORACLE;FR7630003011000002042782012;01/06/2026;0000000003;12914,24;
ORACLE;FR7630003011120002001135658;01/06/2026;0000000013;464205,96;
ORACLE;FR7630003012070002018665043;01/06/2026;0000000004;5043,90;
ORACLE;FR7630003012400002515002490;01/06/2026;0000000021;214101,46;
ORACLE;FR7630003014690002084398983;01/06/2026;0000000025;131841,71;
ORACLE;FR7630003022800002572079247;01/06/2026;0000000034;1026660,19;
ORACLE;FR7630003023600002011730969;01/06/2026;0000000001;239,54;
ORACLE;FR7630003031750002017514494;01/06/2026;0000000001;29529,38;
ORACLE;FR7630003031750002017763784;01/06/2026;0000000002;1109,91;
ORACLE;FR7630003031750002018581203;01/06/2026;0000000001;40,73;
ORACLE;FR7630003031750002025880938;01/06/2026;0000000010;63611,65;
ORACLE;FR7630003031750002028255110;01/06/2026;0000000002;33139,16;
ORACLE;FR7630003031750002034048241;01/06/2026;0000000001;1653,28;
ORACLE;FR7630003031750002034049017;01/06/2026;0000000003;1751,40;
ORACLE;FR7630003031750002034051636;01/06/2026;0000000007;883,00;
ORACLE;FR7630003031750002035424477;01/06/2026;0000000030;77601,40;
ORACLE;FR7630003031750002035917722;01/06/2026;0000000001;3134,72;
ORACLE;FR7630003031750002048541011;01/06/2026;0000000009;107295,30;
ORACLE;FR7630003031750002080742392;01/06/2026;0000000003;2467189,05;
ORACLE;FR7630003036200002015016374;01/06/2026;0000000005;144215,93;
ORACLE;FR7630003038590002515034791;01/06/2026;0000000022;104401,37;
ORACLE;FR7630004003420002010707342;01/06/2026;0000000006;38077,35;
ORACLE;FR7630004008190001182877161;01/06/2026;0000000005;15640,45;
ORACLE;FR7630004008190001184293361;01/06/2026;0000000002;6442,81;
ORACLE;FR7630004008190001184846261;01/06/2026;0000000001;8258,28;
ORACLE;FR7630004008190001190317061;01/06/2026;0000000001;5848,91;
ORACLE;FR7630004008190001190346161;01/06/2026;0000000005;22014,81;
ORACLE;FR7630004008190001190608061;01/06/2026;0000000002;9937,22;
ORACLE;FR7630004008190001191267661;01/06/2026;0000000001;457,72;
ORACLE;FR7630004008190001203227761;01/06/2026;0000000013;304356,49;
ORACLE;FR7630004008190001203276261;01/06/2026;0000000003;7861,46;
ORACLE;FR7630004008190001203285961;01/06/2026;0000000001;379,95;
ORACLE;FR7630004008190001203305361;01/06/2026;0000000002;13728,59;
ORACLE;FR7630004008190001203315061;01/06/2026;0000000004;6368,77;
ORACLE;FR7630004008280001263285176;01/06/2026;0000000003;1326,21;
ORACLE;FR7630004008280001264604376;01/06/2026;0000000052;808548,26;
ORACLE;FR7630004008280001284654276;01/06/2026;0000000002;4800,64;
ORACLE;FR7630004008280001284663976;01/06/2026;0000000001;3619,10;
ORACLE;FR7630004008280001284683376;01/06/2026;0000000004;79158,11;
ORACLE;FR7630004008280001333872076;01/06/2026;0000000001;171339,63;
